Unnamed: 0,state_names,district_names,crop_year,season_names,crop_names,area,temperature,wind_speed,pressure,humidity,soil_type,N,P,K,production,Yield
125191,Maharashtra,AHMEDNAGAR,1997,Autumn     ,Maize,1,20.77089433,2.068259961,1014.863796,21.94714706,loamy,56.07,0,0,1113,1113
125192,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Arhar/Tur,17600,20.16042589,1.976479932,1015.193528,20.64323694,sandy,9,9,0,6300,0.357954545
125193,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Bajra,274100,21.9982986,2.00052426,1014.184607,21.42231237,clay,0,0,0,152800,0.557460781
125194,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Gram,40800,21.77637662,2.019749785,1015.053118,21.81056724,chalky,38.25,38.25,38.25,18600,0.455882353
125195,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Jowar,900,20.07573361,1.974350686,1015.170238,21.93020582,clay,0,23.184,0,1100,1.222222222
125196,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Maize,4400,21.64235446,2.075065625,1015.702482,21.571403,sandy,5.64,14.664,14.664,4700,1.068181818
125197,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Moong(Green Gram),10200,21.19965831,2.079551928,1013.865862,20.83372485,peaty,41.7,111.2,55.6,900,0.088235294
125198,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Pulses total,451,21.36685054,2.078574323,1013.051455,20.08436093,silty,7.476,7.476,0,130,0.288248337
125199,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Ragi,2600,21.8775422,2.054199269,1014.982542,21.64336323,silty,2.1,5.25,2.1,2100,0.807692308
125200,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5900,21.62967599,2.107639236,1014.724315,20.92012574,chalky,0,0,0,7200,1.220338983
125200,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5900,21.62967599,2.107639236,1014.724315,20.92012574,chalky,0,0,0,7200,1.220338983
125200,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5918.251751,21.6169535,2.112281446,1022.255494,20.81140551,chalky,0,0,0,7215.18049,1.233232259
125200,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5926.729385,21.3999955,2.074346053,1015.266439,20.87034306,chalky,0,0,0,7122.872609,1.23712879
125200,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5883.228173,21.44086511,2.078920092,1018.820249,21.15890257,chalky,0,0,0,7250.63753,1.221102126
125200,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5974.78476,21.68462625,2.076230974,1009.362294,21.10297234,chalky,0,0,0,7108.269133,1.221346146
125200,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5942.892235,21.54438653,2.0727105,1021.896534,20.63505208,chalky,0,0,0,7244.68692,1.231329325
125200,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5935.947009,21.74856481,2.078470065,1015.8113,20.4116502,chalky,0,0,0,7069.400419,1.248946232
125200,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5888.493137,21.67098999,2.103579552,1022.168057,21.3131355,chalky,0,0,0,7396.967574,1.21760888
125201,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Sugarcane,45900,20.66483198,2.107465937,1013.164054,21.30536334,sandy,3.392,4.24,0,38940,0.848366013
125202,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Total foodgrain,3384,21.35974226,2.015673189,1014.108797,20.17698696,silt,2.8,0,0,1836,0.542553191
125203,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Urad,1600,20.74823718,2.035531338,1013.022822,21.79448251,chalky,2.898,2.898,0,800,0.5
125204,Maharashtra,AHMEDNAGAR,1997,Rabi       ,Jowar,598400,22.04171458,1.987525865,1015.331912,20.34949169,silt,0,0,0,217000,0.36263369
125205,Maharashtra,AHMEDNAGAR,1997,Rabi       ,Maize,6200,21.96825261,1.981765981,1014.062003,20.63889417,silty,901.37,0,0,9100,1.467741935
125206,Maharashtra,AHMEDNAGAR,1997,Rabi       ,Other  Rabi pulses,60,20.88314114,2.032753812,1014.999626,20.27590988,chalky,7.704,19.688,0,3,0.05
125207,Maharashtra,AHMEDNAGAR,1997,Rabi       ,Wheat,79700,20.96546175,2.079957305,1015.586701,21.4840263,loamy,50.568,0,0,87100,1.092848181
125208,Maharashtra,AHMEDNAGAR,1997,Summer     ,Maize,1100,21.7547621,2.108655049,1014.503957,20.62497734,clay,8.22,8.22,0,1900,1.727272727
125209,Maharashtra,AHMEDNAGAR,1997,Whole Year ,Cotton(lint),98,20.93328469,2.011366642,1015.406196,20.81529873,loamy,0.465,0.465,0.465,17900,182.6530612
125210,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Arhar/Tur,18800,20.69289749,2.087617874,1014.739862,21.94999812,silty,38.25,38.25,38.25,9700,0.515957447
125211,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Bajra,302400,20.98883454,2.07755719,1014.940241,20.6154117,clay,0,26.832,0,243900,0.806547619
125212,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Castor seed,400,20.83184456,1.995048855,1014.654889,21.51358246,silt,10.24,26.624,26.624,100,0.25
125213,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Cotton(lint),12100,21.72103637,2.028014561,1013.713074,20.73272954,chalky,41.496,110.656,55.328,19900,1.644628099
125214,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Groundnut,7100,20.1248972,2.07020758,1014.856644,21.39591752,loamy,7.84,7.84,0,6200,0.873239437
125215,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Jowar,300,21.30744347,2.060792122,1015.437764,21.6067011,chalky,7.504,18.76,7.504,500,1.666666667
125216,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Maize,5800,22.02887686,2.018088293,1014.878968,20.59319817,loamy,0,0,0,12500,2.155172414
125217,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Moong(Green Gram),15600,20.89493598,2.10301467,1014.65758,21.12355934,clay,2.896,3.62,0,9100,0.583333333
125218,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Niger seed,2100,20.50114069,2.04221824,1015.956919,21.26949329,chalky,3.15,0,0,900,0.428571429
125219,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Other Cereals & Millets,4100,22.02352371,2.064150815,1015.318125,21.27069949,chalky,3.45,3.45,0,2400,0.585365854
125220,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Other Kharif pulses,16800,22.06250624,2.06552666,1013.107865,20.4501391,silt,0,0,0,7000,0.416666667
125221,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Ragi,3000,20.18043762,2.107579645,1014.312187,20.83955818,chalky,902.566,0,0,2100,0.7
125222,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Rice,5600,20.83765736,2.069812759,1014.443876,21.37331861,peaty,6.516,16.652,0,7400,1.321428571
125222,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Rice,5600,20.83765736,2.069812759,1014.443876,21.37331861,peaty,6.516,16.652,0,7400,1.321428571
125222,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Rice,5505.322827,20.6004603,2.062826178,1015.014212,21.65390876,peaty,6.554066654,16.69802422,0,7491.03795,1.303279186
125222,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Rice,5588.554998,20.96835741,2.058099509,1016.662327,21.58235799,peaty,6.420269133,16.41489502,0,7468.993853,1.330775064
125222,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Rice,5485.383399,20.62172754,2.087784951,1034.466549,21.73044603,peaty,6.519241564,16.63267974,0,7477.294458,1.300290094
125222,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Rice,5529.195028,20.57496193,2.073583831,1031.40744,21.38067301,peaty,6.521227987,16.78983615,0,7380.853237,1.325026616
125222,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Rice,5543.891268,20.54493734,2.074577356,1007.845878,21.59165019,peaty,6.596853769,16.86636316,0,7496.961615,1.304292819
125222,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Rice,5573.048067,21.19402236,2.035775379,1029.749852,21.53033821,peaty,6.321670651,16.24412943,0,7419.815378,1.336904575
125222,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Rice,5446.272981,20.56924953,2.091165691,1034.7882,21.35694179,peaty,6.423163011,16.57123736,0,7539.454505,1.268006946
125223,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Sesamum,900,20.51281864,1.98236701,1013.980305,21.5505229,peaty,59.22,0,0,300,0.333333333
125224,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Soyabean,4600,21.3312506,2.042967512,1014.824697,20.90579408,clay,7.68,7.68,0,5500,1.195652174
125225,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Sugarcane,59600,20.28478349,2.099276817,1014.573622,22.02234536,peaty,3.255,3.255,3.255,5231800,87.78187919
125226,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Sunflower,11500,20.35574742,2.022406902,1015.255797,21.61955928,loamy,38.25,38.25,38.25,3500,0.304347826
125227,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Urad,2800,21.65475118,2.051912295,1015.267041,21.49227718,sandy,0,28.048,0,1300,0.464285714
125228,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Gram,59600,21.58719633,2.073924425,1013.802234,21.87219321,loamy,10.5,27.3,27.3,40900,0.686241611
125229,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Jowar,453200,21.67279904,2.053245327,1014.412273,20.44558272,chalky,39.72,105.92,52.96,227900,0.502868491
125230,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Linseed,1200,20.74429784,2.109696025,1013.373847,21.66046422,silty,8.008,8.008,0,400,0.333333333
125231,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Maize,7900,20.8057974,2.102208667,1014.534457,21.31802463,peaty,5.824,14.56,5.824,12200,1.544303797
125232,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Other  Rabi pulses,500,21.79311047,2.052410164,1013.661985,21.79910481,chalky,0,0,0,300,0.6
